,accuracy,formatted_address,google_place_id,input_string,latitude,longitude,number_of_results,postcode,status,type,lnglat
10,ROOFTOP,"925 Prospect Pl #3K, Brooklyn, NY 11213, USA",EiwzSywgOTI1IFByb3NwZWN0IFBsLCBCcm9va2x5biwgTlkgMTEyMTMsIFVTQSIeGhwKFgoUChIJv8PxEoNbwokR1P8Lag7BzMASAjNL,925 PROSPECT PLACE APT 3K Brooklyn NY 11213,40.6743337,-73.9459474,1,11213,OK,subpremise,"[-73.9459474, 40.6743337]"
11,ROOFTOP,"1610 Bedford Ave #4C, Brooklyn, NY 11225, USA",Ei00QywgMTYxMCBCZWRmb3JkIEF2ZSwgQnJvb2tseW4sIE5ZIDExMjI1LCBVU0EiHhocChYKFAoSCZuK43x0W8KJEckhLJdGDHWlEgI0Qw,1610 BEDFORD AVENUE 4C BROOKLYN NY 11225,40.6677842,-73.9564174,1,11225,OK,subpremise,"[-73.9564173999999, 40.6677842]"
12,ROOFTOP,"1621 Prospect Pl #4A, Brooklyn, NY 11233, USA",Ei00QSwgMTYyMSBQcm9zcGVjdCBQbCwgQnJvb2tseW4sIE5ZIDExMjMzLCBVU0EiHhocChYKFAoSCTGz1ZdkXMKJEYdrbnxS93mOEgI0QQ,1621  PROSPECT PLACE APT 4A Brooklyn NY 11233,40.6730576,-73.9227325,1,11233,OK,subpremise,"[-73.9227325, 40.6730576]"
13,ROOFTOP,"220 Montgomery St #9A, Brooklyn, NY 11225, USA",Ei45QSwgMjIwIE1vbnRnb21lcnkgU3QsIEJyb29rbHluLCBOWSAxMTIyNSwgVVNBIh4aHAoWChQKEgmvfGUXc1vCiRF1yO5yIC50-xICOUE,220 MONTGOMERY STREET 9A Brooklyn NY 11225,40.6656588,-73.9577862,1,11225,OK,subpremise,"[-73.9577862, 40.6656588]"
14,ROOFTOP,"354 Kingsborough 3rd Walk #3D, Brooklyn, NY 11233, USA",EjYzRCwgMzU0IEtpbmdzYm9yb3VnaCAzcmQgV2FsaywgQnJvb2tseW4sIE5ZIDExMjMzLCBVU0EiHhocChYKFAoSCRdtsR57XMKJEVVsPQFkJBiTEgIzRA,354  KINGSBOROUGH    3 WALK 3D Brooklyn NY 11233,40.6750347,-73.9260014,1,11233,OK,subpremise,"[-73.9260013999999, 40.6750347]"
15,ROOFTOP,"302 Eastern Pkwy #2D, Brooklyn, NY 11225, USA",Ei0yRCwgMzAyIEVhc3Rlcm4gUGt3eSwgQnJvb2tseW4sIE5ZIDExMjI1LCBVU0EiHhocChYKFAoSCS02xyh1W8KJEeXftvb84rZgEgIyRA,302  EASTERN PARKWAY 2D BROOKLYN NY 11225,40.6703039,-73.9587822,1,11225,OK,subpremise,"[-73.9587822, 40.6703039]"
16,ROOFTOP,"1025 Montgomery St #2F, Brooklyn, NY 11213, USA",Ei8yRiwgMTAyNSBNb250Z29tZXJ5IFN0LCBCcm9va2x5biwgTlkgMTEyMTMsIFVTQSIeGhwKFgoUChIJEdQpT4FcwokR4AMqVWTN3OESAjJG,1025  MONTGOMERY STREET 2F BROOKLYN NY 11213,40.664517,-73.9306663,1,11213,OK,subpremise,"[-73.9306663, 40.664517]"
17,ROOFTOP,"823 Classon Ave #4D, Brooklyn, NY 11238, USA",Eiw0RCwgODIzIENsYXNzb24gQXZlLCBCcm9va2x5biwgTlkgMTEyMzgsIFVTQSIeGhwKFgoUChIJvfz2owpbwokRyR0egBBYQlgSAjRE,823 CLASSON AVENUE 4D BROOKLYN NY 11238,40.6725228,-73.96072,1,11238,OK,subpremise,"[-73.96072, 40.6725228]"
18,ROOFTOP,"500 St Johns Pl #2J, Brooklyn, NY 11238, USA",EiwySiwgNTAwIFN0IEpvaG5zIFBsLCBCcm9va2x5biwgTlkgMTEyMzgsIFVTQSIeGhwKFgoUChIJC8n1dqBbwokR-1qyOlEcYssSAjJK,500 ST JOHNS PLACE 2J Brooklyn NY 11238,40.672947,-73.961744,1,11238,OK,subpremise,"[-73.961744, 40.672947]"
19,ROOFTOP,"1578 Sterling Pl #4B, Brooklyn, NY 11213, USA",Ei00QiwgMTU3OCBTdGVybGluZyBQbCwgQnJvb2tseW4sIE5ZIDExMjEzLCBVU0EiHhocChYKFAoSCYPUTeV8XMKJEekqMPv3VKgAEgI0Qg,1578 STERLING PL 4B BROOKLYN 11213,40.6710081,-73.9263837,1,11213,OK,subpremise,"[-73.9263837, 40.6710081]"
20,ROOFTOP,"1335 St Johns Pl #1D, Brooklyn, NY 11213, USA",Ei0xRCwgMTMzNSBTdCBKb2hucyBQbCwgQnJvb2tseW4sIE5ZIDExMjEzLCBVU0EiHhocChYKFAoSCS3GSaN_XMKJERl5FpzKKLUsEgIxRA,1335  ST JOHNS PLACE 1 D Brooklyn NY 11213,40.6710217,-73.934214,1,11213,OK,subpremise,"[-73.934214, 40.6710217]"
21,ROOFTOP,"1240 Union St #1A, Brooklyn, NY 11225, USA",EioxQSwgMTI0MCBVbmlvbiBTdCwgQnJvb2tseW4sIE5ZIDExMjI1LCBVU0EiHhocChYKFAoSCTtq9Qh3W8KJERD3xcTnqPemEgIxQQ,1240 UNION STREET APT 1A BROOKLYN NY 11225,40.6686897,-73.9498737,1,11225,OK,subpremise,"[-73.9498737, 40.6686897]"
22,ROOFTOP,"660 Crown St, Brooklyn, NY 11213, USA",ChIJh-A5HH5bwokROCFpV_s5oZ0,660 CROWN STREET 1 BROOKLYN NY 11213,40.6652694,-73.9362232,2,11213,OK,premise,"[-73.9362232, 40.6652694]"
23,ROOFTOP,"712 Crown St B1, Brooklyn, NY 11213, USA",EilCMSwgNzEyIENyb3duIFN0LCBCcm9va2x5biwgTlkgMTEyMTMsIFVTQSIeGhwKFgoUChIJe7NYl4FcwokR1TweDQ0SHIkSAkIx,712 CROWN STREET B 1 Brooklyn NY 11213,40.6650793,-73.9338696,1,11213,OK,subpremise,"[-73.9338696, 40.6650793]"
24,ROOFTOP,"748 Lincoln Pl, Brooklyn, NY 11216, USA",ChIJGV_-O3ZbwokR3mZmqiqyhZM,748  LINCOLN PLACE  BROOKLYN NY 11216,40.6706498,-73.951768,1,11216,OK,premise,"[-73.951768, 40.6706498]"
25,ROOFTOP,"986 Park Pl 2 FL, Brooklyn, NY 11213, USA",EioyIEZMLCA5ODYgUGFyayBQbCwgQnJvb2tseW4sIE5ZIDExMjEzLCBVU0EiIBoeChYKFAoSCSvgCf-CW8KJEQCBNCKTzUDYEgQyIEZM,986  PARK PLACE 2 FL BROOKLYN NY 11213,40.6729308,-73.9449142,1,11213,OK,subpremise,"[-73.9449142, 40.6729308]"
26,ROOFTOP,"1710 Carroll St B8, Brooklyn, NY 11213, USA",EixCOCwgMTcxMCBDYXJyb2xsIFN0LCBCcm9va2x5biwgTlkgMTEyMTMsIFVTQSIeGhwKFgoUChIJx2dD1IZcwokRJdYM-NMZgm8SAkI4,1710 CARROLL ST B8 BROOKLYN 11213,40.6657634,-73.9298678,1,11213,OK,subpremise,"[-73.9298678, 40.6657634]"
27,ROOFTOP,"321 Crown St #2FL, Brooklyn, NY 11225, USA",EioyRkwsIDMyMSBDcm93biBTdCwgQnJvb2tseW4sIE5ZIDExMjI1LCBVU0EiHxodChYKFAoSCc_HiTV3W8KJEeAJ1eMHw07cEgMyRkw,321 CROWN STREET 2FL Brooklyn NY 11225,40.666463,-73.949213,1,11225,OK,subpremise,"[-73.949213, 40.666463]"
28,ROOFTOP,"1776 Union St #3D, Brooklyn, NY 11213, USA",EiozRCwgMTc3NiBVbmlvbiBTdCwgQnJvb2tseW4sIE5ZIDExMjEzLCBVU0EiHhocChYKFAoSCbVWM0KHXMKJEapNHronffenEgIzRA,1776 UNION STREET APT 3D BROOKLYN NY 11213,40.667431,-73.928816,1,11213,OK,subpremise,"[-73.928816, 40.667431]"
29,ROOFTOP,"1308 Prospect Pl #2L, Brooklyn, NY 11213, USA",Ei0yTCwgMTMwOCBQcm9zcGVjdCBQbCwgQnJvb2tseW4sIE5ZIDExMjEzLCBVU0EiHhocChYKFAoSCXMW1yd_XMKJEY_mZzzobSe5EgIyTA,1308 PROSPECT PL 2L BROOKLYN 11213,40.6732834,-73.933184,1,11213,OK,subpremise,"[-73.933184, 40.6732834]"
30,ROOFTOP,"1082 Eastern Pkwy, Brooklyn, NY 11213, USA",ChIJAaROhIBcwokRVhBv87JnAs8,1082 EASTERN PARKWAY 11213,40.6684065,-73.9325378,1,11213,OK,premise,"[-73.9325377999999, 40.6684065]"
31,ROOFTOP,"1038 Eastern Pkwy, Brooklyn, NY 11213, USA",ChIJ9zdxcoBcwokRUIMRrYmx9aU,1038  EASTERN PARKWAY  BROOKLYN NY 11213,40.6685164,-73.9342599,1,11213,OK,premise,"[-73.9342599, 40.6685164]"
32,ROOFTOP,"871 Park Pl 1ST FL, Brooklyn, NY 11216, USA",EiwxU1QgRkwsIDg3MSBQYXJrIFBsLCBCcm9va2x5biwgTlkgMTEyMTYsIFVTQSIiGiAKFgoUChIJ35RQJ51bwokRBJbWmQA9wzQSBjFTVCBGTA,871 PARK PLACE 1ST FL Brooklyn NY 11216,40.673594,-73.9488,1,11216,OK,subpremise,"[-73.9487999999999, 40.673594]"
33,ROOFTOP,"1050 Bergen St #1C, Brooklyn, NY 11216, USA",EisxQywgMTA1MCBCZXJnZW4gU3QsIEJyb29rbHluLCBOWSAxMTIxNiwgVVNBIh4aHAoWChQKEgkLmFxwnFvCiREUd_SIBuE2wBICMUM,1050  BERGEN STREET 1 C BROOKLYN NY 11216,40.6759063,-73.951435,1,11216,OK,subpremise,"[-73.951435, 40.6759063]"
34,ROOFTOP,"1511 Sterling Pl #3D, Brooklyn, NY 11213, USA",Ei0zRCwgMTUxMSBTdGVybGluZyBQbCwgQnJvb2tseW4sIE5ZIDExMjEzLCBVU0EiHhocChYKFAoSCdm5nTh8XMKJEVeF7R8gwn0HEgIzRA,1511  STERLING PLACE 3D Brooklyn NY 11213,40.671583,-73.928657,1,11213,OK,subpremise,"[-73.928657, 40.671583]"
35,ROOFTOP,"1517 Park Pl #11R, Brooklyn, NY 11213, USA",EioxMVIsIDE1MTcgUGFyayBQbCwgQnJvb2tseW4sIE5ZIDExMjEzLCBVU0EiHxodChYKFAoSCY_HF4Z8XMKJEWZ3FQ1PxsEuEgMxMVI,1517 PARK PLACE 11R Brooklyn NY 11213,40.6724563,-73.9268326,1,11213,OK,subpremise,"[-73.9268326, 40.6724563]"
36,ROOFTOP,"1311 Lincoln Pl #1B, Brooklyn, NY 11213, USA",EiwxQiwgMTMxMSBMaW5jb2xuIFBsLCBCcm9va2x5biwgTlkgMTEyMTMsIFVTQSIeGhwKFgoUChIJx-XSNH5cwokRdPMYgFneyK0SAjFC,1311 LINCOLN PL 1B BROOKLYN 11213,40.6700468,-73.9330659,1,11213,OK,subpremise,"[-73.9330659, 40.6700468]"
37,ROOFTOP,"978 St Marks Ave, Brooklyn, NY 11213, USA",ChIJLTilLoFbwokRN1ArWQiKO6k,978  St Marks Avenue 1 Brooklyn NY 11213,40.674401,-73.939341,2,11213,OK,street_address,"[-73.939341, 40.674401]"
38,ROOFTOP,"225 Eastern Pkwy #1C, Brooklyn, NY 11238, USA",Ei0xQywgMjI1IEVhc3Rlcm4gUGt3eSwgQnJvb2tseW4sIE5ZIDExMjM4LCBVU0EiHhocChYKFAoSCXn8-esKW8KJEU1waNgssSWSEgIxQw,225 EASTERN PARKWAY 1 C BROOKLYN NY 11238,40.6716196,-73.9608706,1,11238,OK,subpremise,"[-73.9608705999999, 40.6716196]"
39,ROOFTOP,"1388 Bedford Ave, Brooklyn, NY 11216, USA",ChIJUTAMHpxbwokR14EcDp2fjeo,1388 BEDFORD AVE  BROOKLYN 11216,40.675812,-73.9535439,1,11216,OK,street_address,"[-73.9535439, 40.675812]"
40,ROOFTOP,"658 Park Pl #3R, Brooklyn, NY 11216, USA",EigzUiwgNjU4IFBhcmsgUGwsIEJyb29rbHluLCBOWSAxMTIxNiwgVVNBIh4aHAoWChQKEglB961OnlvCiRH3xFC4RGxSChICM1I,658  PARK PLACE 3R BROOKLYN NY 11216,40.673752,-73.956143,1,11216,OK,subpremise,"[-73.956143, 40.673752]"
41,ROOFTOP,"374 Eastern Pkwy C7, Brooklyn, NY 11225, USA",Ei1DNywgMzc0IEVhc3Rlcm4gUGt3eSwgQnJvb2tseW4sIE5ZIDExMjI1LCBVU0EiHhocChYKFAoSCetRvqp1W8KJEa9DMEzc-ZbAEgJDNw,374 EASTERN PKWY C7 BROOKLYN 11225,40.6697972,-73.9565238,1,11225,OK,subpremise,"[-73.9565238, 40.6697972]"
42,ROOFTOP,"158 Rogers Ave #4C, Brooklyn, NY 11216, USA",Eis0QywgMTU4IFJvZ2VycyBBdmUsIEJyb29rbHluLCBOWSAxMTIxNiwgVVNBIh4aHAoWChQKEgkdEGEIdlvCiRHqyg2HoipzOBICNEM,158  ROGERS AVENUE 4C BROOKLYN NY 11216,40.671123,-73.953447,1,11216,OK,subpremise,"[-73.953447, 40.671123]"
43,ROOFTOP,"1163 Dean St, Brooklyn, NY 11216, USA",ChIJeYBjm5tbwokR87oH5y1ul1s,1163 DEAN STREET 1 BROOKLYN NY 11216,40.6771293,-73.9510661,1,11216,OK,premise,"[-73.9510660999999, 40.6771293]"
44,ROOFTOP,"585 Grand Ave, Brooklyn, NY 11238, USA",ChIJc5S4haFbwokRm9PdDn7amnE,585  GRAND AVENUE C BROOKLYN NY 11238,40.6775524,-73.9618199,1,11238,OK,street_address,"[-73.9618199, 40.6775524]"
45,ROOFTOP,"426 Eastern Pkwy #6B, Brooklyn, NY 11225, USA",Ei02QiwgNDI2IEVhc3Rlcm4gUGt3eSwgQnJvb2tseW4sIE5ZIDExMjI1LCBVU0EiHhocChYKFAoSCZ-JoNJ1W8KJETjKCEYVeJJWEgI2Qg,426 EASTERN PARKWAY 6B BROOKLYN NY 11225,40.669528,-73.954347,1,11225,OK,subpremise,"[-73.954347, 40.669528]"
46,ROOFTOP,"205 Albany Ave #4A, Brooklyn, NY 11213, USA",Eis0QSwgMjA1IEFsYmFueSBBdmUsIEJyb29rbHluLCBOWSAxMTIxMywgVVNBIh4aHAoWChQKEgmRQkzngFvCiRGGt_RGaz1trRICNEE,205 ALBANY AVE APT 4A BROOKLYN NY 11213,40.6733426,-73.938539,1,11213,OK,subpremise,"[-73.9385389999999, 40.6733426]"
47,ROOFTOP,"345 Empire Blvd, Brooklyn, NY 11225, USA",ChIJNTgeAHFbwokRCPWHYkqnWIQ,345 EMPIRE BLVD 11 BROOKLYN 11225,40.6640579,-73.9506824,2,11225,OK,street_address,"[-73.9506823999999, 40.6640579]"
48,ROOFTOP,"1170 St Marks Ave #2R, Brooklyn, NY 11213, USA",Ei4yUiwgMTE3MCBTdCBNYXJrcyBBdmUsIEJyb29rbHluLCBOWSAxMTIxMywgVVNBIh4aHAoWChQKEgnrEUxJeVzCiRHhNLkoDNEyzhICMlI,1170 SAINT MARKS AVE 2R BROOKLYN 11213,40.6739586,-73.9312289,1,11213,OK,subpremise,"[-73.9312289, 40.6739586]"
49,ROOFTOP,"1284 Carroll St, Brooklyn, NY 11213, USA",ChIJASfu7nlbwokRf7hh-mQRTns,1284 CARROLL STREET BROOKLYN NY 11213,40.6667062,-73.9467964,1,11213,OK,premise,"[-73.9467964, 40.6667062]"
50,ROOFTOP,"1520 Carroll St #1G, Brooklyn, NY 11213, USA",EiwxRywgMTUyMCBDYXJyb2xsIFN0LCBCcm9va2x5biwgTlkgMTEyMTMsIFVTQSIeGhwKFgoUChIJB86nR35bwokRWs-zQ8s6ZskSAjFH,1520 CARROLL ST 1G BROOKLYN 11213,40.6661885,-73.9375895,1,11213,OK,subpremise,"[-73.9375895, 40.6661885]"
51,ROOFTOP,"1504 Bedford Ave #4BR, Brooklyn, NY 11216, USA",Ei40QlIsIDE1MDQgQmVkZm9yZCBBdmUsIEJyb29rbHluLCBOWSAxMTIxNiwgVVNBIh8aHQoWChQKEgkxYqX0dVvCiRGXbMqiZOR1hhIDNEJS,1504  BEDFORD AVENUE 4BR Brooklyn NY 11216,40.6717718,-73.9549709,1,11216,OK,subpremise,"[-73.9549708999999, 40.6717717999999]"
52,ROOFTOP,"1131 President St #1D, Brooklyn, NY 11225, USA",Ei4xRCwgMTEzMSBQcmVzaWRlbnQgU3QsIEJyb29rbHluLCBOWSAxMTIyNSwgVVNBIh4aHAoWChQKEgkf0rqQdlvCiRH0PwKK7DDtfBICMUQ,1131 PRESIDENT STREET 1D Brooklyn NY 11225,40.668425,-73.9529045,1,11225,OK,subpremise,"[-73.9529045, 40.668425]"
53,ROOFTOP,"697 St Johns Pl, Brooklyn, NY 11216, USA",ChIJc_eZH55bwokReSnG9WSwoFM,697 SAINT JOHNS PL  BROOKLYN 11216,40.672148,-73.955016,1,11216,OK,street_address,"[-73.955016, 40.672148]"
54,ROOFTOP,"162 Troy Ave #14J, Brooklyn, NY 11213, USA",EioxNEosIDE2MiBUcm95IEF2ZSwgQnJvb2tseW4sIE5ZIDExMjEzLCBVU0EiHxodChYKFAoSCYuoq6-AW8KJEaGdSOfSrZVnEgMxNEo,162  TROY AVENUE 14J Brooklyn NY 11213,40.6738746,-73.9365472,1,11213,OK,subpremise,"[-73.9365472, 40.6738746]"
55,ROOFTOP,"553 Kingsboro 5th Walk #6D, Brooklyn, NY 11233, USA",EjM2RCwgNTUzIEtpbmdzYm9ybyA1dGggV2FsaywgQnJvb2tseW4sIE5ZIDExMjMzLCBVU0EiHhocChYKFAoSCUFVKNhkXMKJEYmFjSjOavZYEgI2RA,553 KINGSBOROUGH 5 WALK 6D BROOKLYN NY 11233,40.6748354,-73.9234791,1,11233,OK,subpremise,"[-73.9234791, 40.6748354]"
56,ROOFTOP,"1350 Pacific St 1 FL, Brooklyn, NY 11216, USA",Ei4xIEZMLCAxMzUwIFBhY2lmaWMgU3QsIEJyb29rbHluLCBOWSAxMTIxNiwgVVNBIiAaHgoWChQKEgk3C4juhFvCiRHDDthkRuzTABIEMSBGTA,1350  PACIFIC STREET 1 FL Brooklyn NY 11216,40.6772288,-73.9457291,1,11216,OK,subpremise,"[-73.9457291, 40.6772287999999]"
57,ROOFTOP,"1620 St Johns Pl #4B, Brooklyn, NY 11233, USA",Ei00QiwgMTYyMCBTdCBKb2hucyBQbCwgQnJvb2tseW4sIE5ZIDExMjMzLCBVU0EiHhocChYKFAoSCdNb5dRiXMKJEX5ur90Wb9-SEgI0Qg,1620  ST JOHNS PLACE 4 G BROOKLYN NY 11233,40.6699723,-73.9239955,1,11233,OK,subpremise,"[-73.9239955, 40.6699723]"
58,ROOFTOP,"1192 St Marks Ave, Brooklyn, NY 11213, USA",ChIJC5YQ_XtcwokRlQvL32Hqftk,1192  ST MARKS AVENUE  BROOKLYN NY 11213,40.673975,-73.929986,1,11213,OK,premise,"[-73.929986, 40.673975]"
59,ROOFTOP,"268 Albany Ave, Brooklyn, NY 11213, USA",ChIJfysSsYFbwokR_-RLHs5TVlo,268  ALBANY AVENUE 5 Brooklyn NY 11213,40.6714642,-73.9394953,2,11213,OK,premise,"[-73.9394952999999, 40.6714642]"
60,ROOFTOP,"836 Montgomery St, Brooklyn, NY 11213, USA",ChIJo_KG4H1bwokRMEJTRD1wvGs,836 MONTGOMERY ST  BROOKLYN 11213,40.6645122,-73.9374087,1,11213,OK,street_address,"[-73.9374086999999, 40.6645122]"
61,ROOFTOP,"960 Sterling Pl #6G, Brooklyn, NY 11213, USA",Eiw2RywgOTYwIFN0ZXJsaW5nIFBsLCBCcm9va2x5biwgTlkgMTEyMTMsIFVTQSIeGhwKFgoUChIJRYrrt4JbwokRm3rLEeCtKc8SAjZH,960 STERLING PLACE 6G Brooklyn NY 11213,40.672073,-73.947073,1,11213,OK,subpremise,"[-73.947073, 40.672073]"
62,ROOFTOP,"1103 Sterling Pl #2B, Brooklyn, NY 11213, USA",Ei0yQiwgMTEwMyBTdGVybGluZyBQbCwgQnJvb2tseW4sIE5ZIDExMjEzLCBVU0EiIxohChsSGQoUChIJQWoKOIJbwokR06QChdYYaSgQzwgSAjJC,1103 STERLING PL 2B BROOKLYN 11213,40.672284,-73.9421275,1,11213,OK,subpremise,"[-73.9421275, 40.672284]"
63,ROOFTOP,"1625 Dean St #5B, Brooklyn, NY 11213, USA",Eik1QiwgMTYyNSBEZWFuIFN0LCBCcm9va2x5biwgTlkgMTEyMTMsIFVTQSIeGhwKFgoUChIJaVDi9nhcwokRMzmWBydnJLMSAjVC,1625 DENE STREET 5B BROOKLYN NY 11213,40.676243,-73.9349259,1,11213,OK,subpremise,"[-73.9349259, 40.676243]"
64,ROOFTOP,"853 Empire Blvd A7, Brooklyn, NY 11213, USA",EixBNywgODUzIEVtcGlyZSBCbHZkLCBCcm9va2x5biwgTlkgMTEyMTMsIFVTQSIeGhwKFgoUChIJMxILKYJcwokRbTU6Q8t7I9YSAkE3,853 EMPIRE BLVD A7 BROOKLYN 11213,40.6637944,-73.9337056,1,11213,OK,subpremise,"[-73.9337056, 40.6637944]"
65,ROOFTOP,"1719 Sterling Pl #16D, Brooklyn, NY 11233, USA",Ei4xNkQsIDE3MTkgU3RlcmxpbmcgUGwsIEJyb29rbHluLCBOWSAxMTIzMywgVVNBIh8aHQoWChQKEgkJd3Z0Y1zCiRFkpVwi-LEUsBIDMTZE,1719  STERLING PLACE 16D Brooklyn NY 11233,40.6712004,-73.9216302,1,11233,OK,subpremise,"[-73.9216302, 40.6712004]"
66,ROOFTOP,"480 Montgomery St #1F, Brooklyn, NY 11225, USA",Ei4xRiwgNDgwIE1vbnRnb21lcnkgU3QsIEJyb29rbHluLCBOWSAxMTIyNSwgVVNBIh4aHAoWChQKEgnlKjO-cFvCiREpMF9qR_7i0RICMUY,480 MONTGOMERY ST 1F BROOKLYN 11225,40.6650391,-73.9490701,1,11225,OK,subpremise,"[-73.9490701, 40.6650391]"
67,ROOFTOP,"135 Albany Ave #4A, Brooklyn, NY 11213, USA",Eis0QSwgMTM1IEFsYmFueSBBdmUsIEJyb29rbHluLCBOWSAxMTIxMywgVVNBIh4aHAoWChQKEgnJ0TAZh1vCiRHLBsSgfouGZRICNEE,135  ALBANY AVENUE 4A Brooklyn NY 11213,40.67608,-73.9385309,1,11213,OK,subpremise,"[-73.9385309, 40.67608]"
68,ROOFTOP,"1395 Dean St, Brooklyn, NY 11216, USA",ChIJV6d4I4RbwokR9uCEki3F3PA,1395  DEAN STREET 36 Brooklyn NY 11216,40.6767127,-73.9424344,1,11216,OK,premise,"[-73.9424344, 40.6767127]"
69,ROOFTOP,"934 Carroll St, Brooklyn, NY 11225, USA",ChIJeUeNWQtbwokREFgnnAiPVeI,934  CARROLL STREET F 8 Brooklyn NY 11225,40.6680945,-73.9605042,1,11225,OK,premise,"[-73.9605042, 40.6680945]"
70,ROOFTOP,"735 Washington Ave #3B, Brooklyn, NY 11238, USA",Ei8zQiwgNzM1IFdhc2hpbmd0b24gQXZlLCBCcm9va2x5biwgTlkgMTEyMzgsIFVTQSIeGhwKFgoUChIJpcTG8KBbwokRzXZcVMOjTIASAjNC,735 WASHINGTON AVE 3B BROOKLYN NY 11238,40.6749169,-73.9629608,1,11238,OK,subpremise,"[-73.9629607999999, 40.6749169]"
71,ROOFTOP,"1643 Pacific St, Brooklyn, NY 11213, USA",ChIJ4SHShodbwokR8hEAmWLK5Ew,1643 PACIFIC ST 3 BROOKLYN 11213,40.677091,-73.9362003,2,11213,OK,premise,"[-73.9362003, 40.677091]"
72,ROOFTOP,"1456 Union St, Brooklyn, NY 11213, USA",ChIJ8QTiLX9bwokR1I3Ax4Szq98,1456  UNION STREET 2 BROOKLYN NY 11213,40.6682145,-73.9415735,1,11213,OK,premise,"[-73.9415734999999, 40.6682145]"
